"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\config\session.php", "PHP", 0, 23, 0, 0, 0, 0, 160, 35, 218
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\factories\UserFactory.php", "PHP", 0, 25, 0, 0, 0, 0, 14, 6, 45
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 32, 0, 0, 0, 0, 3, 4, 39
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 25, 0, 0, 0, 0, 6, 5, 36
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 46, 0, 0, 0, 0, 6, 6, 58
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_02_27_164440_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 6, 4, 34
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_02_28_115136_create_permission_tables.php", "PHP", 0, 109, 0, 0, 0, 0, 8, 24, 141
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_03_01_093057_create_faculties_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_03_01_130848_modify_points_column_in_users_table.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_03_03_113737_create_majors_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 5, 32
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_03_24_213311_create_documents_table.php", "PHP", 0, 25, 0, 0, 0, 0, 7, 7, 39
"c:\Users\HP i5\Documents\UniversityProjects\Capstone Project\CapstoneBackend\database\migrations\2025_04_06_033754_make_user_id_nullable_in_documents_table.php", "PHP", 0, 19, 0, 0, 0, 0, 3, 4, 26
